J[0]	k[0]	kp[0]	c[0]	J[1]	k[1]	kp[1]	c[1]
30.687	34.234	32.132	3.471	30.953	34.234	33.033	3.571
30.701	34.284	32.182	3.473	30.967	34.284	33.083	3.573
30.714	34.334	32.182	3.526	30.981	34.334	33.133	3.575
30.728	34.384	32.232	3.528	30.994	34.384	33.183	3.577
30.742	34.434	32.282	3.530	31.008	34.434	33.233	3.579
30.756	34.484	32.332	3.532	31.022	34.484	33.283	3.581
30.770	34.535	32.382	3.534	31.036	34.535	33.333	3.583
30.784	34.585	32.432	3.536	31.049	34.585	33.383	3.585
30.798	34.635	32.482	3.538	31.063	34.635	33.433	3.587
30.812	34.685	32.533	3.540	31.077	34.685	33.483	3.589
30.826	34.735	32.583	3.542	31.091	34.735	33.534	3.591
30.839	34.785	32.633	3.544	31.104	34.785	33.584	3.593
30.853	34.835	32.683	3.546	31.118	34.835	33.634	3.595
30.867	34.885	32.733	3.548	31.132	34.885	33.684	3.597
30.881	34.935	32.783	3.550	31.145	34.935	33.734	3.599
30.895	34.985	32.833	3.552	31.159	34.985	33.784	3.601
30.909	35.035	32.883	3.554	31.173	35.035	33.834	3.603
30.922	35.085	32.933	3.556	31.187	35.085	33.884	3.605
30.936	35.135	32.983	3.558	31.200	35.135	33.934	3.607
30.950	35.185	33.033	3.560	31.214	35.185	33.984	3.609
30.964	35.235	33.083	3.562	31.228	35.235	34.034	3.611
30.978	35.285	33.133	3.564	31.241	35.285	34.084	3.613
30.991	35.335	33.183	3.566	31.255	35.335	34.134	3.615
31.005	35.385	33.233	3.568	31.269	35.385	34.184	3.617
31.019	35.435	33.283	3.570	31.282	35.435	34.234	3.619
31.033	35.485	33.333	3.572	31.296	35.485	34.284	3.621
31.046	35.536	33.383	3.574	31.310	35.536	34.334	3.623
31.060	35.586	33.433	3.576	31.323	35.586	34.384	3.625
31.074	35.636	33.483	3.578	31.337	35.636	34.434	3.627
31.088	35.686	33.534	3.580	31.350	35.686	34.434	3.679
31.101	35.736	33.584	3.582	31.364	35.736	34.484	3.681
31.115	35.786	33.634	3.584	31.378	35.786	34.535	3.683
31.129	35.836	33.684	3.586	31.391	35.836	34.585	3.685
31.143	35.886	33.734	3.588	31.405	35.886	34.635	3.687
31.156	35.936	33.784	3.590	31.418	35.936	34.685	3.689
31.170	35.986	33.834	3.592	31.432	35.986	34.735	3.691
31.184	36.036	33.884	3.594	31.446	36.036	34.785	3.693
31.197	36.086	33.934	3.596	31.459	36.086	34.835	3.695
31.211	36.136	33.984	3.598	31.473	36.136	34.885	3.697
31.225	36.186	34.034	3.600	31.486	36.186	34.935	3.699
31.238	36.236	34.084	3.602	31.500	36.236	34.985	3.701
31.252	36.286	34.084	3.654	31.513	36.286	35.035	3.703
31.266	36.336	34.134	3.656	31.527	36.336	35.085	3.705
31.279	36.386	34.184	3.658	31.540	36.386	35.135	3.707
31.293	36.436	34.234	3.660	31.554	36.436	35.185	3.709
31.307	36.486	34.284	3.662	31.567	36.486	35.235	3.711
31.320	36.537	34.334	3.664	31.581	36.537	35.285	3.713
31.334	36.587	34.384	3.666	31.595	36.587	35.335	3.715
31.348	36.637	34.434	3.668	31.608	36.637	35.385	3.717
31.361	36.687	34.484	3.670	31.622	36.687	35.435	3.719
31.375	36.737	34.535	3.672	31.635	36.737	35.485	3.721
31.388	36.787	34.585	3.674	31.648	36.787	35.536	3.723
31.402	36.837	34.635	3.676	31.662	36.837	35.586	3.725
31.416	36.887	34.685	3.678	31.675	36.887	35.636	3.727
31.429	36.937	34.735	3.680	31.689	36.937	35.686	3.729
31.443	36.987	34.785	3.682	31.702	36.987	35.736	3.731
31.456	37.037	34.835	3.684	31.716	37.037	35.786	3.733
31.470	37.087	34.885	3.686	31.729	37.087	35.836	3.735
31.483	37.137	34.935	3.688	31.743	37.137	35.886	3.737
31.497	37.187	34.985	3.690	31.756	37.187	35.936	3.739
31.510	37.237	35.035	3.692	31.770	37.237	35.986	3.741
31.524	37.287	35.085	3.694	31.783	37.287	36.036	3.743
31.538	37.337	35.135	3.696	31.796	37.337	36.086	3.745
31.551	37.387	35.185	3.698	31.810	37.387	36.136	3.747
31.565	37.437	35.235	3.700	31.823	37.437	36.186	3.749
31.578	37.487	35.285	3.702	31.837	37.487	36.236	3.751
31.592	37.538	35.335	3.704	31.850	37.538	36.286	3.753
31.605	37.588	35.385	3.706	31.863	37.588	36.336	3.755
31.619	37.638	35.435	3.708	31.877	37.638	36.386	3.757
31.632	37.688	35.485	3.710	31.890	37.688	36.386	3.809
31.646	37.738	35.536	3.712	31.904	37.738	36.436	3.811
31.659	37.788	35.586	3.714	31.917	37.788	36.486	3.813
31.673	37.838	35.636	3.716	31.930	37.838	36.537	3.815
31.686	37.888	35.686	3.718	31.944	37.888	36.587	3.817
31.700	37.938	35.736	3.720	31.957	37.938	36.637	3.819
